topic_id,words
0,"['lesson', 'reflection', 'scaffold', 'plan', 'regulation', 'scaffolding', 'reflective', 'pedagogical', 'planning', 'metacognitive']"
1,"['analytic', 'cluster', 'code', 'word', 'behavior', 'frequency', 'network', 'contribution', 'average', 'utterance']"
2,"['knowledge_build', 'collective', 'contribution', 'thread', 'word', 'object', 'advance', 'deep', 'productive', 'grade']"
3,"['session', 'conversation', 'episode', 'dialogue', 'segment', 'respond', 'minute', 'moment', 'small_group', 'position']"
4,"['argumentation', 'argument', 'claim', 'reasoning', 'criterion', 'quality', 'intervention', 'scientific_reason', 'evaluation', 'piece']"
5,"['representation', 'graph', 'visual', 'visualization', 'gaze', 'drawing', 'attention', 'object', 'display', 'concept_map']"
6,"['youth', 'local', 'pathway', 'cultural', 'agency', 'site', 'live', 'life', 'city', 'power']"
7,"['workshop', 'artifact', 'digital', 'art', 'library', 'maker', 'creative', 'creativity', 'interview', 'makerspace']"
8,"['gesture', 'body', 'object', 'embody', 'movement', 'physical', 'embodiment', 'dynamic', 'spatial', 'verbal']"
9,"['theoretical', 'culture', 'cultural', 'notion', 'mediate', 'situate', 'language', 'authentic', 'relation', 'discipline']"
10,"['unit', 'biology', 'progression', 'map', 'complex_system', 'energy', 'sequence', 'day', 'component', 'ecosystem']"
11,"['text', 'feedback', 'read', 'revision', 'critique', 'story', 'reading', 'comment', 'revise', 'word']"
12,"['expert', 'engineering', 'expertise', 'novice', 'engineer', 'stem', 'undergraduate', 'plan', 'professional', 'solution']"
13,"['physical', 'virtual', 'exhibit', 'museum', 'affordance', 'user', 'location', 'device', 'app', 'visitor']"
14,"['programming', 'code', 'computational', 'robot', 'compute', 'computing', 'block', 'scratch', 'computational_think', 'pair']"
15,"['source', 'history', 'literacy', 'historical', 'public', 'presentation', 'environmental', 'symposium', 'personal', 'climate_change']"
16,"['game', 'family', 'parent', 'player', 'medium', 'digital', 'gaming', 'character', 'card', 'home']"
17,"['network', 'facilitator', 'organization', 'leadership', 'leader', 'informal', 'organizational', 'face', 'actor', 'social_network']"
18,"['scale', 'variable', 'qualitative', 'characteristic', 'instrument', 'misconception', 'quantitative', 'assumption', 'sample', 'small']"
19,"['solution', 'problem_solv', 'phase', 'transfer', 'domain', 'solve', 'tutor', 'step', 'guidance', 'training']"
20,"['mathematic', 'mathematical', 'math', 'reasoning', 'area', 'representation', 'function', 'construction', 'algebra', 'frame']"
21,"['team', 'partner', 'dyad', 'quality', 'script', 'communication', 'computer_supported', 'building', 'awareness', 'collaborate']"
22,"['intervention', 'user', 'phase', 'iteration', 'software', 'dbr', 'orchestration', 'principle', 'implementation', 'designer']"
23,"['identity', 'stem', 'position', 'woman', 'scientist', 'gender', 'college', 'interview', 'equity', 'career']"
24,"['factor', 'motivation', 'positive', 'behavior', 'feel', 'perceive', 'attitude', 'emotion', 'self_efficacy', 'affect']"
25,"['implementation', 'professional_development', 'innovation', 'implement', 'interview', 'district', 'scale', 'team', 'reform', 'meeting']"
26,"['condition', 'score', 'item', 'average', 'control', 'prompt', 'comparison', 'experimental', 'receive', 'pair']"
27,"['simulation', 'physics', 'interview', 'energy', 'phenomenon', 'motion', 'force', 'earth', 'element', 'particle']"
28,"['epistemic', 'investigation', 'experiment', 'scientist', 'phenomenon', 'frame', 'light', 'uncertainty', 'water', 'disciplinary']"
29,"['instructor', 'post', 'mooc', 'week', 'communication', 'active', 'assignment', 'platform', 'quality', 'social_media']"
